,title,date,country,genre,rate
1251,Unfinished Lights,31 January 2017 (Iran),Iran,"['Drama', 'Mystery']",2.9
1252,Proklyataya,6 December 2016 (USA),Russia,"['Drama', 'Horror']",2.9
1253,Mara,13 January 2014 (UK),Sweden,"['Horror', 'Mystery']",3.0
1254,Hangman's Game,16 May 2016 (Colombia),Colombia,"['Horror', 'Mystery']",3.0
1255,Implanted,6 December 2013 (USA),USA,"['Drama', 'Mystery']",3.0
1256,The Appearing,25 March 2014 (USA),USA,"['Horror', 'Mystery']",3.0
1257,Haunted House: Demon Poltergeist,1 September 2013 (USA),USA,['Mystery'],3.0
1258,#Horror,20 November 2015 (USA),USA,"['Drama', 'Horror']",3.0
1259,Sisters of the Plague,2016 (USA),USA,"['Drama', 'Horror']",3.0
1260,Minimolude Achhan,28 February 2014 (India),India,['Drama'],3.0
1261,Prank Week,3 August 2017 (USA),USA,"['Crime', 'Mystery']",3.0
1262,Milwood,October 2013 (USA),USA,"['Drama', 'Horror']",3.1
1263,Left Behind,3 October 2014 (USA),USA,"['Action', 'Drama']",3.1
1264,Infernal,10 April 2015 (USA),USA,"['Drama', 'Horror']",3.1
1265,Melancholy,17 June 2017 (Iran),Iran,"['Drama', 'Mystery']",3.1
1266,Red Herring,30 October 2015 (USA),USA,"['Crime', 'Drama']",3.2
1267,Lords of London,6 January 2014 (UK),UK,"['Crime', 'Mystery']",3.2
1268,Tape_13,11 February 2014 (Germany),Germany,['Horror'],3.2
1269,Project Eden: Vol. I,5 January 2018 (UK),USA,"['Mystery', 'Sci-Fi']",3.2
1270,Chill: The Killing Games,22 September 2015 (USA),USA,"['Horror', 'Mystery']",3.3
1271,Windsor Drive,28 August 2015 (USA),USA,['Mystery'],3.3
1272,Roy,12 February 2015 (Kuwait),India,"['Action', 'Drama']",3.3
1273,Intruder,24 June 2016 (USA),USA,"['Horror', 'Mystery']",3.3
1274,The Secret Path,June 2014 (USA),UK,"['Fantasy', 'History']",3.3
1275,Altered Perception,4 May 2018 (USA),USA,"['Fantasy', 'Mystery']",3.3
1276,The Last Supper,9 May 2014 (India),India,"['Adventure', 'Mystery']",3.3
1277,Darbe,31 July 2015 (Turkey),Turkey,[],3.3
1278,Snowbound,20 May 2017 (France),USA,[],3.3
1279,Dead Sea,4 November 2017 (Canada),USA,"['Action', 'Adventure']",3.4
1280,Alone,25 November 2014 (USA),USA,"['Horror', 'Mystery']",3.4
1281,Slaughter Is the Best Medicine,21 April 2014 (UK),UK,"['Action', 'Drama']",3.4
1282,Backgammon,11 March 2016 (USA),Mexico,['Drama'],3.4
1283,Dark Vision,28 January 2015 (USA),UK,"['Horror', 'Mystery']",3.4
1284,Isabel,9 May 2013 (Czech Republic),Czech Republic,"['Drama', 'Fantasy']",3.4
1285,Following the Wicca Man,29 November 2013 (UK),UK,"['Horror', 'Mystery']",3.4
1286,A Perfect Vacation,7 July 2015 (USA),USA,"['Action', 'Horror']",3.4
1287,Table 47,16 May 2015 (USA),USA,"['Crime', 'Drama']",3.4
1288,The Thin Man,5 June 2015 (Australia),Australia,"['Drama', 'Horror']",3.4
1289,Flay,2017 (USA),USA,"['Drama', 'Fantasy']",3.4
1290,Invoked,17 August 2015 (Ireland),Ireland,"['Horror', 'Mystery']",3.4
1291,Belly of the Bulldog,6 October 2016 (Kuwait),UK,"['Action', 'Horror']",3.4
1292,Area:98,Mystery,USA,['Action'],3.4
1293,The Forbidden Girl,7 February 2013 (Germany),Germany,"['Fantasy', 'Horror']",3.5
1294,Model Behaviour,Mystery,Australia,['Action'],3.5
1295,Eden Lodge,24 August 2015 (UK),UK,"['Horror', 'Mystery']",3.5
1296,The Mourning,20 April 2015 (Netherlands),USA,"['Drama', 'Mystery']",3.5
1297,Classroom 6,2 October 2015 (Brazil),USA,['Horror'],3.5
1298,Hunting the Legend,8 July 2014 (Canada),USA,"['Horror', 'Mystery']",3.5
1299,Escape to Entrapment,January 2014 (USA),Australia,['Drama'],3.5
1300,Strange Sounds,18 September 2014 (Poland),Poland,"['Horror', 'Mystery']",3.5
1301,Aliens: Zone of Silence,24 October 2017 (USA),USA,"['Horror', 'Mystery']",3.5
1302,"Burning, Burning",26 September 2015 (UK),Canada,"['Drama', 'Fantasy']",3.5
1303,The Spiritualist,27 September 2016 (UK),UK,"['Drama', 'Horror']",3.5
1304,Wraith,5 November 2018 (Japan),USA,"['Horror', 'Mystery']",3.5
1305,The Devil You Know,9 July 2013 (USA),USA,['Mystery'],3.6
1306,Awakened,21 March 2014 (USA),USA,"['Drama', 'Mystery']",3.6
1307,Persecuted,18 July 2014 (USA),USA,"['Action', 'Drama']",3.6
1308,The Devil's Dozen,1 February 2013 (USA),USA,"['Horror', 'Mystery']",3.6
1309,In a Heartbeat,26 December 2014 (UK),UK,"['Horror', 'Mystery']",3.6
1310,The Before Time,8 March 2016 (USA),USA,"['Horror', 'Mystery']",3.6
1311,Branded,15 September 2017 (USA),USA,"['Drama', 'Mystery']",3.6
1312,Deadly Sanctuary,17 February 2017 (USA),USA,"['Family', 'Mystery']",3.6
1313,Bury,Thriller,USA,['Fantasy'],3.6
1314,Seclusion,23 October 2015 (USA),USA,"['Horror', 'Mystery']",3.6
1315,The Coffin Footage,Thriller,USA,['Horror'],3.6
1316,The Haunted House on Kirby Road,9 September 2016 (Canada),Canada,"['Adventure', 'Comedy']",3.6
1317,One Under the Sun,14 March 2017 (USA),USA,"['Drama', 'Mystery']",3.6
1318,Prisoners of the Sun,12 December 2013 (Thailand),USA,"['Action', 'Adventure']",3.7
1319,Distorted,Thriller,UK,['Horror'],3.7
1320,Assumed Killer,1 November 2013 (USA),USA,"['Drama', 'Mystery']",3.7
1321,Sona Spa,22 March 2013 (India),India,"['Drama', 'Mystery']",3.7
1322,Seventy-Nine,8 June 2017 (USA),USA,"['Action', 'Horror']",3.7
1323,Mississippi Murder,3 January 2017 (USA),USA,"['Crime', 'Mystery']",3.7
1324,Panzer Chocolate,22 November 2013 (Spain),Spain,['Horror'],3.7
1325,Mr Joe B. Carvalho,3 January 2014 (India),India,"['Comedy', 'Mystery']",3.7
1326,The Dooms Chapel Horror,14 June 2016 (USA),USA,"['Horror', 'Mystery']",3.7
1327,The Diplomat Hotel,4 September 2013 (Philippines),Philippines,"['Drama', 'Horror']",3.7
1328,Grim Reapers,27 September 2014 (USA),USA,"['Horror', 'Mystery']",3.7
1329,Venial,14 April 2014 (USA),USA,"['Drama', 'Horror']",3.7
1330,The Unfolding,14 March 2016 (UK),UK,"['Horror', 'Mystery']",3.7
1331,Citrus Springs,17 May 2016 (USA),USA,"['Crime', 'Horror']",3.7
1332,Boned,2016 (USA),USA,"['Action', 'Comedy']",3.7
1333,Falsely Accused,24 June 2016 (USA),USA,"['Crime', 'Mystery']",3.7
1334,Reel Nightmare,7 February 2017 (USA),USA,"['Fantasy', 'Horror']",3.7
1335,Watch Over Us,5 May 2015 (USA),USA,"['Comedy', 'Drama']",3.7
1336,Ek Paheli Leela,10 April 2015 (India),India,"['Mystery', 'Romance']",3.7
1337,The Sound,6 October 2017 (Kuwait),Canada,"['Horror', 'Mystery']",3.7
1338,Sightings,7 November 2017 (USA),USA,"['Adventure', 'Drama']",3.7
1339,Xuan zhan,8 May 2015 (China),China,[],3.7
1340,Inheritance,2 June 2017 (USA),USA,"['Drama', 'Horror']",3.7
1341,Five: Find Your Limit,19 November 2016 (Germany),Germany,['Horror'],3.7
1342,Event Zero,April 2017 (Australia),Australia,"['Action', 'Drama']",3.7
1343,Encontro Silencioso,5 April 2018 (Portugal),Portugal,"['Adventure', 'Drama']",3.7
1344,The Thing on the Doorstep,2014 (USA),USA,"['Horror', 'Mystery']",3.8
1345,ISRA 88,7 February 2017 (USA),USA,"['Adventure', 'Mystery']",3.8
1346,A Cry from Within,3 April 2014 (USA),USA,"['Horror', 'Mystery']",3.8
1347,Death Valley,20 October 2015 (USA),USA,"['Crime', 'Drama']",3.8
1348,Throwback,2014 (Australia),Australia,"['Action', 'Adventure']",3.8
1349,Silent Retreat,12 January 2016 (USA),USA,"['Horror', 'Mystery']",3.8
1350,Mu Tiya Mu the Mysterious Melody,15 September 2015 (USA),Germany,"['Adventure', 'Family']",3.8
1351,The Offering,6 May 2016 (USA),Singapore,"['Drama', 'Horror']",3.8
1352,Braxton,3 July 2017 (UK),UK,"['Horror', 'Mystery']",3.8
1353,Lyst,21 April 2017 (Norway),Norway,"['Horror', 'Mystery']",3.8
1354,Silver Woods,12 September 2017 (USA),USA,['Mystery'],3.8
1355,Charlotte,1 May 2017 (Australia),Australia,['Drama'],3.8
1356,Treehouse,25 June 2015 (South Korea),UK,"['Horror', 'Mystery']",3.9
1357,Roadside,14 April 2015 (USA),USA,"['Drama', 'Horror']",3.9
1358,Camp Dread,19 May 2014 (UK),USA,"['Horror', 'Mystery']",3.9
1359,The Shadow Behind You,14 October 2015 (USA),USA,"['Crime', 'Mystery']",3.9
1360,Gorod-prizrak,3 February 2013 (Russia),Russia,"['Comedy', 'Horror']",3.9
1361,Az Tehran Ta Behesht,August 2013 (Canada),Iran,['Drama'],3.9
1362,Certified Dead,Mystery,Singapore,['Drama'],3.9
1363,Ace the Case,26 August 2016 (USA),USA,['Family'],3.9
1364,Moth,21 February 2017 (USA),UK,"['Drama', 'Horror']",3.9
1365,The Summoning,10 January 2017 (Canada),,"['Drama', 'Mystery']",3.9
1366,Cartels,7 July 2017 (USA),USA,"['Action', 'Crime']",3.9
1367,Skinford,March 2017 (Australia),Australia,"['Action', 'Adventure']",3.9
1368,Valley of Ditches,21 March 2017 (USA),USA,"['Crime', 'Drama']",3.9
1369,Bayou Ghost Story,18 April 2017 (USA),USA,"['Drama', 'Horror']",3.9
1370,Jeepers Creepers 3,2 November 2017 (Mexico),USA,"['Action', 'Horror']",4.0
1371,Alicia's Dream,22 September 2017 (Mexico),USA,"['Drama', 'Horror']",4.0
1372,Betrayal,3 April 2015 (USA),USA,"['Action', 'Adventure']",4.0
1373,Subterranea,13 September 2016 (USA),USA,['Drama'],4.0
1374,The Unwanted,31 March 2014 (USA),USA,"['Drama', 'Horror']",4.0
1375,Don't Go to the Reunion,9 August 2013 (USA),USA,"['Horror', 'Mystery']",4.0
1376,AfterDeath,19 October 2015 (UK),UK,"['Horror', 'Mystery']",4.0
1377,2 Bedroom 1 Bath,5 September 2014 (USA),USA,"['Horror', 'Mystery']",4.0
1378,Apparition of Evil,7 October 2014 (USA),UK,"['Crime', 'Horror']",4.0
1379,Brackenmore,2016 (UK),Ireland,"['Horror', 'Mystery']",4.0
1380,Solitude,October 2014 (USA),USA,"['Action', 'Comedy']",4.0
1381,Zombies vs. Joe Alien,4 February 2017 (USA),USA,"['Adventure', 'Comedy']",4.0
1382,The Emerging Past Director's Cut,28 March 2017 (USA),USA,"['Horror', 'Mystery']",4.0
1383,Sick of it All,3 January 2017 (USA),USA,"['Comedy', 'Drama']",4.0
1384,Buffalo,30 December 2015 (Iran),Iran,['Drama'],4.0
1385,Steel Chamber,28 August 2014 (USA),USA,[],4.0
1386,"Saudó, laberinto de almas",August 2016 (Colombia),Colombia,"['Horror', 'Mystery']",4.0
