,title,date,country,genre,rate
141,We All Fall Down,12 August 2016 (USA),USA,"['Adventure', 'Drama']",2.7
142,Antisocial.app,21 March 2017 (USA),USA,[],2.7
143,Machine,17 March 2017 (India),India,"['Action', 'Mystery']",2.7
144,Election Night,13 October 2017 (USA),USA,['Horror'],2.7
145,This Old Machine,14 November 2017 (USA),USA,[],2.7
146,Alligator X,16 April 2014 (Belgium),USA,"['Action', 'Adventure']",2.8
147,"The Darkness, Rage and the Fury",February 2014 (USA),USA,"['Horror', 'Sci-Fi']",2.8
148,Deewana Main Deewana,1 February 2013 (India),India,"['Comedy', 'Romance']",2.8
149,The Borderland,11 November 2014 (USA),France,['Action'],2.8
150,20 Ft Below: The Darkness Descending,21 January 2016 (Kuwait),USA,[],2.8
151,The Quarantine Hauntings,26 January 2015 (Australia),Australia,['Horror'],2.8
152,Onus,26 December 2016 (UK),UK,"['Drama', 'Mystery']",2.8
153,Mumbai 125 KM 3D,17 October 2014 (India),India,"['Drama', 'Horror']",2.8
154,The Warp,2014 (USA),USA,['Horror'],2.8
155,Battle for Skyark,24 June 2017 (Australia),USA,"['Action', 'Adventure']",2.8
156,After Midnight,28 October 2014 (USA),USA,['Mystery'],2.8
157,Battered,December 2014 (Bahamas),USA,"['Comedy', 'Crime']",2.8
158,Angel of Reckoning,20 September 2016 (USA),USA,"['Action', 'Horror']",2.8
159,Dracula's Angel,10 October 2014 (USA),USA,"['Animation', 'Horror']",2.8
160,But Deliver Us from Evil,27 April 2017 (USA),USA,['Horror'],2.8
161,Das kalte Gericht,19 June 2015 (Germany),Germany,[],2.8
162,Forced to Kill,2016 (USA),,[],2.8
163,Mega Shark vs. Kolossus,16 July 2015 (Germany),USA,"['Action', 'Adventure']",2.8
164,Seytan-i Racim 2: Ifrit,5 June 2015 (Turkey),Turkey,['Horror'],2.8
165,Cupid's Guillotine,14 February 2017 (USA),USA,"['Drama', 'Mystery']",2.8
166,Solus,Thriller,USA,[],2.8
167,Panteon Woods,Thriller,USA,[],2.8
168,#FollowFriday,15 September 2016 (USA),USA,[],2.8
169,Azazil 2: BÃ¼yÃ¼,25 March 2016 (Turkey),Turkey,['Horror'],2.8
170,Bittersweet Revenge,6 May 2016 (Germany),Germany,[],2.8
171,#Captured,5 September 2017 (USA),USA,[],2.8
172,Mind's Eye,2 December 2016 (USA),USA,['Sci-Fi'],2.9
173,Toxin,30 January 2015 (USA),USA,"['Drama', 'Horror']",2.9
174,Jonah Lives,18 September 2015 (USA),USA,"['Drama', 'Horror']",2.9
175,The Underneath,December 2013 (USA),USA,"['Action', 'Sci-Fi']",2.9
176,Rulers of Darkness,4 November 2014 (Canada),Canada,['Sci-Fi'],2.9
177,Animus,26 March 2013 (USA),USA,['Horror'],2.9
178,Sader Ridge,27 November 2014 (Peru),USA,['Horror'],2.9
179,Age of Dinosaurs,8 October 2015 (Hungary),USA,"['Action', 'Adventure']",2.9
180,Lokpal,31 January 2013 (India),India,[],2.9
181,Lost Time,19 September 2014 (USA),USA,"['Horror', 'Sci-Fi']",2.9
182,Das Werwolfspiel,7 May 2013 (Austria),Austria,"['Horror', 'Mystery']",2.9
183,Chat,Thriller,USA,['Crime'],2.9
184,Somnus,4 October 2016 (USA),UK,"['Adventure', 'Sci-Fi']",2.9
185,The 2nd Law,2016 (USA),USA,['Sci-Fi'],2.9
186,Checkmate,8 September 2015 (USA),USA,"['Action', 'Crime']",2.9
187,Psychos,17 March 2017 (USA),USA,"['Crime', 'Drama']",2.9
188,The Unbidden,22 April 2016 (USA),USA,"['Horror', 'Mystery']",2.9
189,Deviance,2017 (USA),USA,[],2.9
190,Odious,2017 (USA),USA,[],2.9
191,Beiimaan Love,14 October 2016 (India),India,"['Drama', 'Romance']",2.9
192,Anomaly,Sci-Fi,USA,['Horror'],2.9
193,Land Shark,27 June 2017 (USA),USA,"['Action', 'Adventure']",2.9
194,Proklyataya,6 December 2016 (USA),Russia,"['Drama', 'Horror']",2.9
195,Cats Kill,2017 (USA),USA,[],2.9
196,It Kills,11 November 2017 (USA),USA,"['Action', 'Horror']",2.9
197,Haitian Nights,13 August 2013 (USA),USA,[],3.0
198,Blooming Flowers,13 July 2013 (USA),USA,"['Action', 'Adventure']",3.0
199,Mara,13 January 2014 (UK),Sweden,"['Horror', 'Mystery']",3.0
200,Hangman's Game,16 May 2016 (Colombia),Colombia,"['Horror', 'Mystery']",3.0
201,Sorrow,21 April 2015 (USA),USA,"['Crime', 'Drama']",3.0
202,Implanted,6 December 2013 (USA),USA,"['Drama', 'Mystery']",3.0
203,Templar Nation,23 July 2013 (USA),USA,['Adventure'],3.0
204,The Appearing,25 March 2014 (USA),USA,"['Horror', 'Mystery']",3.0
205,Dracano,5 June 2013 (Japan),USA,"['Action', 'Adventure']",3.0
206,Punishment,22 January 2013 (USA),USA,[],3.0
207,He Who Dares,16 May 2014 (Vietnam),UK,"['Action', 'Crime']",3.0
208,Haunted House: Demon Poltergeist,1 September 2013 (USA),USA,['Mystery'],3.0
209,The Son of Raw's the Roman,19 June 2016 (UK),UK,"['Adventure', 'Fantasy']",3.0
210,Hayride 2,18 March 2016 (Germany),USA,"['Action', 'Horror']",3.0
211,Wandering Rose,2 June 2015 (USA),UK,['Horror'],3.0
212,Animus: The Tell-Tale Heart,31 October 2015 (USA),USA,['Horror'],3.0
213,#Horror,20 November 2015 (USA),USA,"['Drama', 'Horror']",3.0
214,Friends Don't Let Friends,28 November 2017 (USA),USA,['Horror'],3.0
215,The Purgation,2 April 2015 (USA),USA,"['Drama', 'Horror']",3.0
216,The Shadow People,28 February 2017 (USA),USA,[],3.0
217,Ludo,17 July 2015 (Canada),India,"['Fantasy', 'Horror']",3.0
