,title,date,country,genre,rate
115,Fight to the Finish,2 February 2016 (USA),USA,"['Action', 'Romance']",3.6
116,Just Our Luck,3 May 2016 (USA),,[],3.6
117,She and She,Romance,China,[],3.6
118,Purnodoirgho Prem Kahini 2,8 April 2016 (Bangladesh),Bangladesh,[],3.6
119,Ava's Impossible Things,16 July 2016 (USA),USA,['Drama'],3.6
120,She Taxi,1 May 2015 (India),India,[],3.6
121,Mamaboy,3 September 2016 (USA),USA,"['Comedy', 'Drama']",3.6
122,Sadie,23 February 2018 (Germany),UK,"['Drama', 'Fantasy']",3.6
123,Hymns,Romance,USA,['Drama'],3.6
124,Swing State,3 February 2017 (USA),USA,"['Comedy', 'Music']",3.6
125,Man Va Sharmin,6 September 2017 (Iran),Iran,"['Comedy', 'Drama']",3.6
126,Sweetiee Weds NRI,2 June 2017 (India),India,"['Comedy', 'Drama']",3.6
127,Climax,23 August 2013 (India),India,['Drama'],3.6
128,9 Days,28 May 2013 (USA),USA,"['Comedy', 'Horror']",3.7
129,10 Rules for Sleeping Around,4 April 2014 (USA),USA,['Comedy'],3.7
130,Boned,2016 (USA),USA,"['Action', 'Comedy']",3.7
131,Meleklerin mucizesi,4 April 2014 (Turkey),Turkey,['Comedy'],3.7
132,Shaandaar,22 October 2015 (India),India,"['Comedy', 'Drama']",3.7
133,Ladies First,2 October 2014 (India),India,[],3.7
134,Hero,11 September 2015 (India),India,"['Action', 'Drama']",3.7
135,Ek Paheli Leela,10 April 2015 (India),India,"['Mystery', 'Romance']",3.7
136,Lion,14 May 2015 (India),India,"['Action', 'Drama']",3.7
137,The Enchanted Cottage,1 April 2016 (USA),USA,['Drama'],3.7
138,Ka Ka Ka Po,26 March 2016 (India),India,['Comedy'],3.7
139,Don't Forget Your Childhood,10 December 2015 (Iran),Iran,['Comedy'],3.7
140,Picture of Beauty,14 March 2017 (UK),UK,['Drama'],3.7
141,Porady na zdrady,24 February 2017 (Poland),Poland,['Comedy'],3.7
142,Encontro Silencioso,5 April 2018 (Portugal),Portugal,"['Adventure', 'Drama']",3.7
143,Basmati Blues,9 February 2018 (USA),USA,"['Comedy', 'Musical']",3.8
144,The Wedding Pact,25 February 2014 (USA),USA,['Comedy'],3.8
145,The Coffee Shop,2014 (USA),USA,['Comedy'],3.8
146,Camel Safari,23 September 2013 (India),India,[],3.8
147,Hacker's Game,25 March 2015 (France),France,"['Drama', 'Romance']",3.8
148,All Is Well,21 August 2015 (India),India,"['Adventure', 'Comedy']",3.8
149,Best Day Ever,9 December 2014 (USA),USA,['Drama'],3.8
150,"Dzien dobry, kocham cie!",7 November 2014 (Poland),Poland,['Comedy'],3.8
151,Chewing Gum,6 December 2013 (India),India,['Drama'],3.8
152,Vellaikaara Durai,25 December 2014 (India),India,['Comedy'],3.8
153,Senpai to kanojo,17 October 2015 (Japan),Japan,"['Comedy', 'Drama']",3.8
154,Evlenmeden Olmaz,23 October 2015 (Turkey),Turkey,['Comedy'],3.8
155,VerrÃ¼ckt nach Fixi,13 October 2016 (Germany),Germany,"['Comedy', 'Fantasy']",3.8
156,Huccha Venkat,28 November 2014 (India),India,[],3.8
157,Soukhyam,25 December 2015 (Kuwait),India,['Action'],3.8
158,Yeonaeui Gisul,31 October 2013 (South Korea),South Korea,['Comedy'],3.8
159,Revenge for Love,12 February 2017 (China),China,['Comedy'],3.8
160,Wingman Inc.,21 April 2015 (USA),USA,['Comedy'],3.9
161,I Love New Year,10 July 2015 (India),India,['Comedy'],3.9
162,Rebecca Uthup Kizhakemala,8 March 2013 (India),India,"['Drama', 'Romance']",3.9
163,Baker's Man,20 June 2017 (USA),USA,['Comedy'],3.9
164,August in Tokyo,26 October 2014 (Japan),Japan,['Drama'],3.9
165,Born Guilty,11 May 2018 (USA),USA,"['Comedy', 'Drama']",3.9
166,Wedding Pullav,16 October 2015 (India),India,['Comedy'],3.9
167,He yi sheng xiao mo,30 April 2015 (China),China,[],3.9
168,Appavum Veenjum,12 June 2015 (India),India,['Drama'],3.9
169,Ishq Forever,19 February 2016 (India),India,[],3.9
170,Befikre,9 December 2016 (India),India,"['Comedy', 'Drama']",3.9
171,Organik Ask Hikayeleri,2017 (Turkey),Turkey,"['Comedy', 'Drama']",3.9
172,Du yi wu er,11 March 2016 (Taiwan),Taiwan,[],3.9
173,Saansein: The Last Breath,25 November 2016 (India),India,['Horror'],3.9
174,Dooram,19 August 2016 (India),India,['Comedy'],3.9
175,DesearÃ¡s al hombre de tu hermana,5 October 2017 (Argentina),Argentina,"['Comedy', 'Drama']",3.9
176,The Cosmonaut,14 May 2013 (Spain),Spain,"['Drama', 'Romance']",4.0
177,Fishing Naked,8 May 2015 (USA),USA,"['Comedy', 'Fantasy']",4.0
178,Wang chao de nu ren: Yang Gui Fei,30 July 2015 (China),China,"['Drama', 'History']",4.0
179,Alicia's Dream,22 September 2017 (Mexico),USA,"['Drama', 'Horror']",4.0
180,Bullets for Jesus,7 July 2015 (USA),USA,"['Action', 'Adventure']",4.0
181,Beyond,25 April 2014 (UK),UK,"['Drama', 'Romance']",4.0
182,Mouthpiece,16 August 2016 (USA),USA,"['Comedy', 'Drama']",4.0
183,The Unwanted,31 March 2014 (USA),USA,"['Drama', 'Horror']",4.0
184,Mac Daddy & the Lovers,10 February 2015 (USA),USA,['Comedy'],4.0
185,Ask Oyunu,4 April 2014 (Turkey),Turkey,['Comedy'],4.0
