title,date,country,genre,rate
"Gostosas, Lindas e Sexies",20 April 2017 (Brazil),Brazil,['Comedy'],3.8
Undercover,24 November 2016 (Denmark),Denmark,['Comedy'],3.8
"Oh, quina joia!",18 November 2016 (Spain),Spain,['Comedy'],3.8
Yolki 5,22 December 2016 (Russia),Russia,['Comedy'],3.8
Unter deutschen Betten,5 October 2017 (Germany),Germany,"['Comedy', 'Drama']",3.8
Shyam,26 August 2016 (India),India,['Comedy'],3.8
Yildizlar da Kayar: Das Borak,16 September 2016 (Turkey),Turkey,['Comedy'],3.8
Los Veganeros 2,16 March 2017 (Germany),Germany,['Comedy'],3.8
888 Fast Thai,6 October 2016 (Thailand),Thailand,['Comedy'],3.8
Yeonaeui Gisul,31 October 2013 (South Korea),South Korea,['Comedy'],3.8
Babushka lyogkogo povedeniya,17 August 2017 (Russia),Russia,['Comedy'],3.8
Revenge for Love,12 February 2017 (China),China,['Comedy'],3.8
Na uklady nie ma rady,8 September 2017 (Poland),Poland,['Comedy'],3.8
Detki naprokat,23 November 2017 (Russia),Russia,['Comedy'],3.8
Cenaze Isleri,8 September 2017 (Turkey),Turkey,['Comedy'],3.8
The Oatmeal Man,19 October 2014 (USA),USA,"['Comedy', 'Horror']",3.9
Creeporia,Fantasy,USA,['Comedy'],3.9
Taking Stock,5 February 2016 (UK),UK,"['Comedy', 'Crime']",3.9
Ins?nia,1 June 2013 (Brazil),Brazil,['Comedy'],3.9
Free the Nipple,12 December 2014 (USA),USA,['Comedy'],3.9
Wingman Inc.,21 April 2015 (USA),USA,['Comedy'],3.9
Karaoglan,11 January 2013 (Turkey),Turkey,"['Action', 'Comedy']",3.9
Dysmorphia,2014 (USA),USA,"['Comedy', 'Horror']",3.9
Bullish,30 June 2015 (USA),USA,['Comedy'],3.9
Bunker of the Dead,18 February 2016 (Russia),Germany,"['Action', 'Comedy']",3.9
Other Plans,Comedy,USA,['Comedy'],3.9
I Love New Year,10 July 2015 (India),India,['Comedy'],3.9
My Stepbrother Is a Vampire!?!,15 October 2013 (USA),USA,['Comedy'],3.9
Kaagaz Ke Fools,24 April 2015 (India),India,['Comedy'],3.9
Scandal,13 March 2013 (Iran),Iran,['Comedy'],3.9
Gorod-prizrak,3 February 2013 (Russia),Russia,"['Comedy', 'Horror']",3.9
Recep Ivedik 4,21 February 2014 (Turkey),Turkey,['Comedy'],3.9
Kids vs Monsters,Horror,USA,['Comedy'],3.9
Belka i Strelka: Lunnye priklyucheniya,6 February 2014 (Russia),Russia,"['Animation', 'Adventure']",3.9
Hei se xi ju,3 April 2014 (Singapore),Hong Kong,['Comedy'],3.9
Angel's Bounty,1 September 2015 (USA),USA,['Comedy'],3.9
Wings: Sky Force Heroes,8 July 2014 (USA),USA,"['Animation', 'Adventure']",3.9
El Dassas,Horror,Egypt,['Action'],3.9
Baker's Man,20 June 2017 (USA),USA,['Comedy'],3.9
Manual de principiantes para ser presidente,4 November 2016 (USA),Mexico,['Comedy'],3.9
Balwinder Singh Famous Ho Gaya,26 September 2014 (India),India,['Comedy'],3.9
Repas de famille,3 December 2014 (France),France,['Comedy'],3.9
There's Something in the Pilliga,2018 (Australia),Australia,['Comedy'],3.9
Le fant?me de Canterville,6 April 2016 (France),France,['Comedy'],3.9
Dreamy,17 September 2014 (Iran),Iran,['Comedy'],3.9
Born Guilty,11 May 2018 (USA),USA,"['Comedy', 'Drama']",3.9
Wedding Pullav,16 October 2015 (India),India,['Comedy'],3.9
Live at Love,2 November 2014 (Taiwan),Taiwan,['Comedy'],3.9
La pi¨¨ce,12 October 2016 (France),France,['Comedy'],3.9
Piyasadan B¨¹y¨¹k Alacagimiz Var,4 September 2015 (Turkey),Turkey,[],3.9
Befikre,9 December 2016 (India),India,"['Comedy', 'Drama']",3.9
Skinford,March 2017 (Australia),Australia,"['Action', 'Adventure']",3.9
Tonight She Comes,13 February 2018 (USA),USA,['Comedy'],3.9
Chin'yuuki,27 February 2016 (Japan),Japan,['Comedy'],3.9
Bad People,11 November 2016 (USA),USA,['Comedy'],3.9
Judwaa 2,29 September 2017 (India),India,['Action'],3.9
Organik Ask Hikayeleri,2017 (Turkey),Turkey,"['Comedy', 'Drama']",3.9
Le p¨¦riple,2017 (France),France,['Comedy'],3.9
Porta dos Fundos: Contrato Vital¨ªcio,30 June 2016 (Brazil),Brazil,['Comedy'],3.9
Wo de lao po shi ming xing,7 April 2016 (Hong Kong),Hong Kong,['Comedy'],3.9
Noor,21 April 2017 (India),India,['Comedy'],3.9
Super Pap¨¢,13 July 2017 (Dominican Republic),Dominican Republic,['Comedy'],3.9
Adra Machan Visilu,7 July 2016 (India),India,['Comedy'],3.9
Les nouvelles aventures de Cendrillon,18 October 2017 (France),France,['Comedy'],3.9
Boule & Bill 2,19 April 2017 (France),France,['Comedy'],3.9
Dooram,19 August 2016 (India),India,['Comedy'],3.9
The Middle Finger,9 September 2016 (Ireland),Ireland,['Comedy'],3.9
Christmas with the Andersons,10 December 2016 (USA),USA,['Comedy'],3.9
El-Bab Yefawwet Amal,22 September 2016 (Kuwait),Egypt,['Comedy'],3.9
Natale a Londra - Dio salvi la Regina,15 December 2016 (Italy),Italy,['Comedy'],3.9
LOVE by CHANCE,2 May 2017 (USA),USA,['Comedy'],3.9
Macho Peruano Que Se Respeta,24 May 2015 (Peru),Peru,['Comedy'],3.9
Fain Qalbi,13 April 2017 (Kuwait),Egypt,['Comedy'],3.9
Desear¨¢s al hombre de tu hermana,5 October 2017 (Argentina),Argentina,"['Comedy', 'Drama']",3.9
Antar Ibn Ibn Ibn Shaddad,3 August 2017 (Kuwait),Egypt,['Comedy'],3.9
Gandarrapiddo! The Revenger Squad,29 December 2017 (USA),Philippines,['Comedy'],3.9
Gizlenpac,11 November 2016 (Azerbaijan),Azerbaijan,['Comedy'],3.9
Paranormal Investigation Agency,10 January 2017 (USA),USA,['Comedy'],3.9
Tetta Reddast,1 March 2013 (Iceland),Iceland,['Comedy'],4
Stripped,14 May 2013 (USA),USA,"['Comedy', 'Horror']",4
Stag,20 August 2013 (USA),Canada,['Comedy'],4
Fishing Naked,8 May 2015 (USA),USA,"['Comedy', 'Fantasy']",4
Get Squirrely,4 November 2016 (USA),USA,"['Animation', 'Comedy']",4
Hickey,19 February 2016 (USA),USA,['Comedy'],4
Fen Shou Da Ren,12 April 2014 (China),China,['Comedy'],4
Mouthpiece,16 August 2016 (USA),USA,"['Comedy', 'Drama']",4
Best Night Ever,26 December 2013 (USA),USA,['Comedy'],4
Da wei lu man,1 February 2013 (Taiwan),Taiwan,['Comedy'],4
A Bulldog for Christmas,3 November 2014 (UK),USA,['Comedy'],4
Mac Daddy & the Lovers,10 February 2015 (USA),USA,['Comedy'],4
What Lies Beyond... The Beginning,7 November 2014 (USA),USA,['Comedy'],4
Bite,20 September 2016 (USA),UK,"['Comedy', 'Crime']",4
The Hatching,26 September 2017 (UK),UK,"['Action', 'Comedy']",4
Dedictv¨ª aneb Kurvasener¨ªk¨¢,6 February 2014 (Czech Republic),Czech Republic,['Comedy'],4
Hooked Up,15 October 2013 (Spain),Spain,"['Comedy', 'Horror']",4
Deet 'n Bax Save Th World,April 2015 (USA),USA,['Comedy'],4
P Se PM Tak,29 May 2015 (India),India,['Comedy'],4
Polyarnyy reys,12 December 2013 (Russia),Ukraine,['Comedy'],4
Theory of My Unt,1 May 2013 (Egypt),Egypt,['Comedy'],4
Rivers 9,30 June 2015 (USA),USA,"['Action', 'Comedy']",4
Bachelors,14 November 2015 (USA),USA,['Comedy'],4
Hot Property,25 June 2016 (UK),UK,['Comedy'],4
Solitude,October 2014 (USA),USA,"['Action', 'Comedy']",4
Tera Mera Tedha Medha,11 September 2015 (India),India,['Comedy'],4
Ask Oyunu,4 April 2014 (Turkey),Turkey,['Comedy'],4
That Rak Asurn,3 July 2014 (Thailand),Thailand,['Comedy'],4
Zombies vs. Joe Alien,4 February 2017 (USA),USA,"['Adventure', 'Comedy']",4
Tutturamayanlar,13 June 2014 (Turkey),Turkey,['Comedy'],4
10. K?y Teyatora,2 May 2014 (Turkey),Turkey,['Comedy'],4
United We Fall,17 October 2014 (UK),UK,['Comedy'],4
Another Kind of Wedding,18 May 2018 (Canada),Canada,['Comedy'],4
Gun Shy,8 September 2017 (USA),UK,"['Action', 'Adventure']",4
Red Billabong,25 August 2016 (Australia),Australia,"['Action', 'Comedy']",4
Die Schlikkerfrauen,18 September 2014 (Germany),Germany,['Comedy'],4
Sick of it All,3 January 2017 (USA),USA,"['Comedy', 'Drama']",4
Frog Kingdom,28 December 2013 (China),China,"['Animation', 'Adventure']",4
Muleque T¨¦ Doido! O Filme,26 June 2014 (Brazil),Brazil,['Comedy'],4
Direct Ishq,19 February 2016 (India),India,"['Action', 'Comedy']",4
Risto R?pp??j? ja y?haukka,19 February 2016 (Finland),Finland,"['Comedy', 'Family']",4
?grenci Isleri,24 April 2015 (Turkey),Turkey,['Comedy'],4
Xi le chang an,25 March 2016 (China),China,['Comedy'],4
Perfect Piece,2016 (UK),UK,"['Comedy', 'Drama']",4
5 Dakkada Degisir B¨¹t¨¹n Isler,6 May 2016 (Turkey),Turkey,['Comedy'],4
Dance Camp,10 February 2016 (USA),USA,"['Comedy', 'Drama']",4
Reveries of the Solitary Actor,8 February 2016 (Algeria),Algeria,['Comedy'],4
Darling 2,1 April 2016 (India),India,['Comedy'],4
Mi Suegra y Yo,21 January 2016 (Dominican Republic),Dominican Republic,['Comedy'],4
Slaba plec?,1 January 2016 (Poland),Poland,"['Comedy', 'Drama']",4
Les naufrag¨¦s,17 February 2016 (France),France,['Comedy'],4
Kolpa?ino 3. Devre,11 March 2016 (Turkey),Turkey,['Comedy'],4
We Love You,22 November 2016 (USA),USA,['Comedy'],4
Pomnyu - ne pomnyu!,31 March 2016 (Russia),Russia,['Comedy'],4
50 Kilo Albaloo,16 March 2016 (Iran),Iran,['Comedy'],4
How to Get Girls,3 September 2018 (UK),,['Comedy'],4
Puertorican Halloween,22 October 2015 (Puerto Rico),Puerto Rico,['Comedy'],4
My Father Jack,19 May 2016 (Italy),Italy,['Comedy'],4
Stadtlandliebe,7 July 2016 (Germany),Germany,['Comedy'],4
Bare-Naked Survivor Again,February 2013 (USA),,['Comedy'],4
Vezir Parmagi,25 January 2017 (Turkey),Turkey,"['Comedy', 'Drama']",4
Achayans,19 May 2017 (India),India,"['Action', 'Comedy']",4
Po ma zhang fei,3 February 2017 (China),China,['Action'],4
Eski Sevgili,5 May 2017 (Turkey),Turkey,['Comedy'],4
Pappa pia,15 August 2017 (Hungary),Hungary,"['Comedy', 'Music']",4
Vezuchiy sluchay,16 March 2017 (Russia),Russia,['Comedy'],4
Droomdag,24 April 2017 (South Africa),South Africa,['Comedy'],4
Sinyalciler: Son Aksam Yemegi,16 June 2017 (Turkey),Turkey,['Comedy'],4
Bad Trip,20 November 2017 (Belgium),Belgium,['Comedy'],4
Kimaat Mefursemet,22 June 2017 (Israel),Israel,"['Comedy', 'Drama']",4
How Funny,22 April 2016 (Nepal),Nepal,['Comedy'],4
Party-zan Film,29 December 2016 (Belarus),Belarus,['Comedy'],4
Agente ?ero ?ero 7: Comando Jungla,2 November 2017 (Colombia),Colombia,['Comedy'],4
Hybris: la condena de la libertad,15 March 2016 (Spain),Spain,['Crime'],1.1
Bang Bang Alley,9 April 2014 (Philippines),Philippines,['Crime'],1.6
Kod Adi K.O.Z.,13 February 2015 (Turkey),Turkey,['Crime'],1.6
Gekijouban Shimajirou no wao!: Shimajirou to niji no oashisu,3 December 2018 (Hong Kong),Japan,"['Action', 'Crime']",1.6
Borderland,2017 (USA),USA,"['Action', 'Crime']",1.8
Prizrak 5: Vozvrashchenie sudby,6 July 2013 (Russia),Russia,"['Crime', 'Drama']",1.9
Angela Markado,2 December 2015 (Philippines),Philippines,"['Action', 'Crime']",1.9
Pigeon Tango,6 October 2017 (Taiwan),Taiwan,['Crime'],2
Entry,4 January 2013 (India),India,"['Action', 'Crime']",2.1
Samrajyam II: Son of Alexander,5 May 2015 (India),India,"['Action', 'Crime']",2.2
Tian ji: Fu chun shan ju tu,12 June 2013 (Hong Kong),China,"['Action', 'Adventure']",2.3
Chasovshchik,18 May 2013 (Russia),Russia,"['Action', 'Crime']",2.3
Assignment,21 October 2013 (UK),UK,['Thriller'],2.4
Man zhou li lai de ren,25 March 2015 (Hong Kong),China,"['Crime', 'Drama']",2.4
Hajwala,29 September 2016 (United Arab Emirates),United Arab Emirates,"['Action', 'Adventure']",2.4
Gialli,10 July 2015 (Russia),Russia,"['Crime', 'Horror']",2.4
Hooligans at War: North vs. South,13 April 2015 (UK),UK,"['Crime', 'Drama']",2.5
After School Special,27 June 2017 (USA),USA,"['Adventure', 'Comedy']",2.5
Abandoned Dead,4 November 2015 (USA),USA,"['Crime', 'Horror']",2.5
Death Note Fan-Made Film,5 January 2017 (UK),UK,['Crime'],2.5
The Best Years,25 April 2013 (UK),UK,"['Comedy', 'Crime']",2.6
Thilothama,27 November 2015 (India),India,['Crime'],2.6
Shortcut Romeo,21 June 2013 (India),India,"['Action', 'Crime']",2.7
Pearl: The Assassin,June 2015 (USA),USA,"['Action', 'Crime']",2.7
Full English Breakfast,7 April 2014 (UK),UK,"['Action', 'Crime']",2.7
He Who Dares: Downing Street Siege,24 August 2015 (Netherlands),UK,"['Action', 'Crime']",2.7
Scramble,26 December 2017 (USA),,['Crime'],2.7
On the Brain,12 July 2016 (USA),USA,"['Crime', 'Horror']",2.7
The Disappearance of Lenka Wood,15 May 2014 (USA),UK,['Crime'],2.8
Battered,December 2014 (Bahamas),USA,"['Comedy', 'Crime']",2.8
"White Lies, Black Lies",15 April 2016 (Taiwan),Taiwan,"['Crime', 'Mystery']",2.8
Cold-Blooded Killers,30 October 2017 (UK),UK,['Crime'],2.8
Chat,Thriller,USA,['Crime'],2.9
Checkmate,8 September 2015 (USA),USA,"['Action', 'Crime']",2.9
Psychos,17 March 2017 (USA),USA,"['Crime', 'Drama']",2.9
GazGolder,24 April 2014 (Russia),Russia,['Crime'],2.9
Fragmented Skin,17 June 2016 (UK),UK,['Action'],2.9
Tai bei wu yu,19 May 2017 (Taiwan),Taiwan,['Crime'],2.9
Sorrow,21 April 2015 (USA),USA,"['Crime', 'Drama']",3
He Who Dares,16 May 2014 (Vietnam),UK,"['Action', 'Crime']",3
Mind and Machine,6 March 2018 (USA),USA,"['Crime', 'Sci-Fi']",3
Taxi 121,1 September 2016 (Czech Republic),Czech Republic,['Crime'],3
Dealers Drugs & Depravity,11 August 2016 (UK),UK,['Crime'],3
Blow a Kiss,2 August 2017 (USA),USA,['Action'],3
Prank Week,3 August 2017 (USA),USA,"['Crime', 'Mystery']",3
Ashes of Eden,5 April 2016 (USA),USA,['Crime'],3.1
Pedro Calungsod: Batang Martir,25 December 2013 (Philippines),Philippines,"['Biography', 'Crime']",3.1
The Contract,18 January 2016 (UK),UK,"['Action', 'Crime']",3.1
Catatonia,Thriller,USA,['Crime'],3.1
Clowntergeist,12 September 2017 (USA),USA,"['Crime', 'Horror']",3.1
Austur,10 April 2015 (Iceland),Iceland,['Crime'],3.1
New World Order,February 2015 (Italy),Italy,"['Action', 'Crime']",3.1
Sons of God,2017 (France),France,['Crime'],3.1
Halloween Pussy Trap Kill Kill,27 October 2017 (USA),USA,"['Crime', 'Horror']",3.1
Red Herring,30 October 2015 (USA),USA,"['Crime', 'Drama']",3.2
Lords of London,6 January 2014 (UK),UK,"['Crime', 'Mystery']",3.2
Kaufman's Game,20 November 2017 (UK),UK,['Crime'],3.2
Podejrzani zakochani,25 January 2013 (Poland),Poland,['Comedy'],3.2
Gangster,11 April 2014 (India),India,"['Action', 'Crime']",3.2
Neulovimye,26 March 2015 (Russia),Russia,['Crime'],3.2
Chapo: el escape del siglo,15 January 2016 (Mexico),Mexico,['Crime'],3.2
Black Water Creek,22 July 2014 (USA),USA,"['Crime', 'Horror']",3.3
The Asian Connection,13 May 2016 (USA),Thailand,"['Action', 'Crime']",3.3
Misfire,12 January 2015 (Japan),USA,['Action'],3.3
Bony a klid II,22 May 2014 (Czech Republic),Czech Republic,['Comedy'],3.3
Dangerous Mind of a Hooligan,19 May 2014 (UK),UK,['Crime'],3.3
Bad Seeds,14 April 2016 (USA),Canada,['Crime'],3.3
China Salesman,16 June 2017 (China),China,"['Action', 'Adventure']",3.3
White Rabbit,13 February 2015 (USA),USA,"['Crime', 'Drama']",3.4
District C-11,21 March 2017 (USA),USA,['Crime'],3.4
Table 47,16 May 2015 (USA),USA,"['Crime', 'Drama']",3.4
Rough Cut,16 October 2015 (UK),UK,"['Action', 'Crime']",3.4
Crooked & Narrow,June 2016 (USA),USA,"['Crime', 'Drama']",3.4
States,6 June 2015 (USA),USA,"['Action', 'Crime']",3.4
Khali the Killer,31 August 2018 (USA),USA,['Crime'],3.4
Hooligan Legacy,30 May 2016 (UK),UK,['Crime'],3.4
Hoener met die Rooi Skoene,27 January 2017 (South Africa),South Africa,['Comedy'],3.4
Black Tar Road,28 July 2016 (USA),USA,"['Crime', 'Drama']",3.5
Model Behaviour,Mystery,Australia,['Action'],3.5
Intrusive Behavior,1 June 2013 (USA),USA,"['Crime', 'Drama']",3.5
L.A. Slasher,3 November 2016 (USA),USA,"['Comedy', 'Crime']",3.5
7 Cases,31 July 2015 (UK),UK,"['Crime', 'Drama']",3.5
Meinu Ek Ladki Chaahiye,26 September 2014 (India),India,"['Comedy', 'Crime']",3.5
Killing Rob Teare,14 February 2015 (USA),USA,"['Action', 'Comedy']",3.5
StaggeR .0,6 July 2015 (UK),UK,"['Action', 'Crime']",3.5
Shark Lake,2 October 2015 (USA),USA,"['Action', 'Adventure']",3.5
King Charles,March 2017 (USA),USA,"['Action', 'Crime']",3.5
Shame the Devil,2 December 2013 (Germany),UK,"['Crime', 'Horror']",3.6
Prank,18 June 2013 (USA),USA,['Crime'],3.6
Zila Ghaziabad,22 February 2013 (India),India,"['Action', 'Crime']",3.6
Suddenly,8 August 2013 (Canada),Canada,['Crime'],3.6
Beyond Justice,14 October 2014 (USA),USA,['Crime'],3.6
The Reporter,6 March 2015 (India),India,['Crime'],3.6
Drifter,24 February 2017 (USA),USA,"['Crime', 'Horror']",3.6
Dead West,Horror,USA,['Crime'],3.6
Hatton Garden the Heist,17 October 2016 (UK),UK,"['Action', 'Crime']",3.6
Mala,14 February 2013 (Argentina),Argentina,['Crime'],3.7
Contract Killers,2014 (New Zealand),New Zealand,"['Action', 'Crime']",3.7
Holland Road,5 March 2015 (USA),USA,"['Crime', 'Horror']",3.7
Lateef,1 January 2013 (India),India,"['Action', 'Crime']",3.7
Mississippi Murder,3 January 2017 (USA),USA,"['Crime', 'Mystery']",3.7
Altered,6 January 2015 (USA),USA,['Crime'],3.7
Vigilante 7,14 November 2015 (USA),USA,"['Crime', 'Drama']",3.7
Rest Days,Thriller,USA,['Crime'],3.7
Apex Rising,31 October 2016 (USA),USA,"['Crime', 'Drama']",3.7
Citrus Springs,17 May 2016 (USA),USA,"['Crime', 'Horror']",3.7
Boned,2016 (USA),USA,"['Action', 'Comedy']",3.7
Road,5 August 2017 (France),UK,"['Action', 'Crime']",3.7
North Mountain,8 August 2015 (Canada),Canada,"['Action', 'Crime']",3.7
Falsely Accused,24 June 2016 (USA),USA,"['Crime', 'Mystery']",3.7
Cop Mortem,24 November 2016 (Hungary),Hungary,['Action'],3.7
Devil's Mile,12 August 2014 (USA),USA,"['Action', 'Crime']",3.8
Gangs of Tooting Broadway,4 February 2013 (UK),UK,"['Action', 'Crime']",3.8
Gutshot Straight,2 December 2014 (USA),USA,['Crime'],3.8
The Fall of the Essex Boys,1 March 2014 (Netherlands),UK,['Crime'],3.8
Escape from Babylon,Thriller,Trinidad and Tobago,['Action'],3.8
Death Valley,20 October 2015 (USA),USA,"['Crime', 'Drama']",3.8
Black Rose,25 January 2014 (Russia),Russia,"['Action', 'Crime']",3.8
Lazarus Rising,Drama,USA,['Action'],3.8
Kicking Off,21 April 2016 (UK),UK,"['Comedy', 'Crime']",3.8
Mr. X,17 April 2015 (India),India,"['Action', 'Crime']",3.8
Undercover,24 November 2016 (Denmark),Denmark,['Comedy'],3.8
Hellcat's Revenge,1 March 2017 (USA),USA,"['Action', 'Crime']",3.8
The Miranda Murders: Lost Tapes of Leonard Lake and Charles Ng,13 October 2017 (USA),USA,['Biography'],3.8
Akhlaa El-Abid,29 March 2017 (Egypt),Egypt,['Crime'],3.8
Goat,21 May 2013 (USA),USA,['Action'],3.9
Taking Stock,5 February 2016 (UK),UK,"['Comedy', 'Crime']",3.9
End of a Gun,23 September 2016 (USA),USA,"['Action', 'Crime']",3.9
The Contractor,10 September 2013 (USA),USA,['Crime'],3.9
Criticsized,13 December 2016 (USA),USA,"['Action', 'Crime']",3.9
Alleged Gangster,1 January 2013 (USA),USA,['Crime'],3.9
Ambushed,16 October 2013 (Philippines),USA,"['Action', 'Crime']",3.9
Goo waat zai: Gong woo sun dit jui,10 January 2013 (Hong Kong),Hong Kong,['Crime'],3.9
Annunciation to a Third Milennium Citizen,9 October 2013 (Iran),Iran,['Crime'],3.9
The Shadow Behind You,14 October 2015 (USA),USA,"['Crime', 'Mystery']",3.9
Your Move,1 December 2017 (France),USA,"['Crime', 'Drama']",3.9
Kill Kane,18 January 2016 (UK),UK,['Crime'],3.9
Erasmus,2016 (Spain),Argentina,"['Crime', 'Horror']",3.9
?ilek,19 September 2014 (Turkey),Turkey,['Crime'],3.9
Cartels,7 July 2017 (USA),USA,"['Action', 'Crime']",3.9
Skinford,March 2017 (Australia),Australia,"['Action', 'Adventure']",3.9
Valley of Ditches,21 March 2017 (USA),USA,"['Crime', 'Drama']",3.9
El ocaso del cazador,24 February 2017 (Mexico),Mexico,['Action'],3.9
Betrayal,3 April 2015 (USA),USA,"['Action', 'Adventure']",4
Kill Kapone,2014 (USA),USA,"['Action', 'Crime']",4
Americons,29 December 2017 (USA),USA,"['Action', 'Biography']",4
AB Negative,26 October 2015 (UK),UK,['Crime'],4
Shadow,26 April 2013 (India),India,"['Action', 'Crime']",4
Paapi - Ek Satya Katha,11 October 2013 (India),India,['Crime'],4
Caught on Tape,5 February 2013 (USA),USA,['Crime'],4
Apparition of Evil,7 October 2014 (USA),UK,"['Crime', 'Horror']",4
As Night Comes,14 November 2014 (USA),USA,['Crime'],4
Barrio Brawler,27 August 2013 (USA),USA,"['Action', 'Crime']",4
Bite,20 September 2016 (USA),UK,"['Comedy', 'Crime']",4
Rivers 9,30 June 2015 (USA),USA,"['Action', 'Comedy']",4
Stomping Ground,February 2016 (USA),USA,"['Crime', 'Drama']",4
Cardinal Matter,8 July 2016 (USA),USA,"['Action', 'Crime']",4
Gun Shy,8 September 2017 (USA),UK,"['Action', 'Adventure']",4
Avatharam,1 August 2014 (India),India,"['Action', 'Crime']",4
Extraction,18 December 2015 (USA),USA,"['Action', 'Adventure']",4
Altitude,6 October 2017 (USA),USA,"['Action', 'Crime']",4
5 Dakkada Degisir B¨¹t¨¹n Isler,6 May 2016 (Turkey),Turkey,['Comedy'],4
Raasta,31 March 2017 (Pakistan),Pakistan,"['Action', 'Crime']",4
Arsenal,6 January 2017 (USA),USA,"['Action', 'Crime']",4
Revelation Blue: Prisoner of Hope,Drama,USA,['Adventure'],4
Hallucination,20 June 2016 (UK),UK,['Crime'],4
title,date,country,genre,rate
Ry?sei,16 November 2013 (Japan),Japan,['Drama'],1
Hatsukoi,30 September 2013 (Canada),Japan,[],1
Bye Bye Marrano,8 July 2013 (Japan),Japan,[],1
Tysyacha,Thriller,Russia,[],1
Mr. Home,September 2014 (Japan),Japan,['Comedy'],1
The Tokyo Wind Orchestra,2016 (Japan),Japan,[],1
A no dentou,1 March 2014 (Japan),Japan,[],1
Suguru hi no yamaneko,19 September 2015 (Japan),Japan,[],1
Pure Hearts: Into Chinese Showbiz,20 September 2017 (China),China,['Comedy'],1
Ushikoku ni mairu,14 November 2015 (Japan),Japan,"['Action', 'Drama']",1
Lulu,Drama,USA,[],1
Bloody Massacre,4 July 2016 (Russia),Russia,"['Drama', 'Horror']",1
6 elementov vremeni,10 June 2016 (Russia),Russia,"['Adventure', 'Drama']",1
Ya vas vsyekh ub'yu,6 December 2016 (Russia),Russia,"['Drama', 'Horror']",1
Who Killed Red,October 2017 (USA),USA,"['Drama', 'Horror']",1
Nakhodka interneta,20 September 2017 (Russia),Ukraine,[],1
Kanagawa geijutsu daigaku eizou gakka kenkyuushitsu,16 July 2013 (Japan),Japan,[],1.1
Tokyo no hi,31 October 2015 (Japan),Japan,[],1.1
Delusion of Persecution,6 July 2016 (Russia),Russia,"['Comedy', 'Drama']",1.1
Vozmezdiye,27 September 2016 (Russia),Russia,"['Drama', 'Horror']",1.1
"Yes, Sir! 7",2 September 2016 (Taiwan),Taiwan,['Comedy'],1.1
Homesick,10 August 2013 (Japan),Japan,[],1.2
Elment az ?sz?d,22 May 2013 (Hungary),Hungary,[],1.2
Attack of Monster,3 July 2016 (Russia),Russia,"['Comedy', 'Drama']",1.2
Neznakomka,4 August 2016 (Russia),Russia,"['Drama', 'Horror']",1.2
Extrand,2017 (Japan),Japan,['Comedy'],1.2
Vosstavshiy iz myortvykh,17 October 2016 (Russia),Russia,"['Drama', 'Horror']",1.2
Ninja the Monster,20 February 2016 (Japan),Japan,"['Action', 'Adventure']",1.3
Intrinsic Leverage,1 August 2016 (USA),USA,[],1.3
Krolik Black,2 August 2016 (Russia),Russia,"['Drama', 'Horror']",1.3
Smolensk,9 September 2016 (Poland),Poland,['Drama'],1.3
Tumors 2,11 June 2013 (Russia),Russia,"['Drama', 'Horror']",1.3
Fifty Fifty Ball,Romance,UK,[],1.4
Right Here Right Now,9 March 2014 (Japan),Japan,[],1.4
Bloody Forest,5 July 2016 (Russia),Russia,"['Drama', 'Horror']",1.4
Howa Fi Keda,2 January 2014 (Kuwait),Egypt,[],1.5
Cenere,10 December 2015 (Italy),Italy,[],1.5
Terminal,7 November 2015 (Japan),Japan,[],1.5
The Lock In,9 January 2014 (USA),USA,['Drama'],1.5
To the Top,2016 (USA),USA,"['Adventure', 'Drama']",1.5
Ya zai,18 July 2013 (Taiwan),Taiwan,"['Action', 'Drama']",1.6
Bang Bang Alley,9 April 2014 (Philippines),Philippines,['Crime'],1.6
De overgave,21 August 2014 (Netherlands),Netherlands,[],1.6
Pink,4 March 2016 (Mexico),Mexico,['Comedy'],1.6
Gekijouban Shimajirou no wao!: Shimajirou to niji no oashisu,3 December 2018 (Hong Kong),Japan,"['Action', 'Crime']",1.6
Beyond the Call to Duty,June 2016 (USA),USA,"['Action', 'Drama']",1.7
Dawn/Spring,9 May 2014 (Taiwan),Taiwan,[],1.7
Taiga masuku,9 November 2013 (Japan),Japan,"['Action', 'Adventure']",1.8
Borderland,2017 (USA),USA,"['Action', 'Crime']",1.8
My Many Sons,2016 (USA),USA,[],1.8
2025,8 December 2015 (UK),UK,[],1.8
Fatih'in Fedaisi Kara Murat,16 January 2015 (Turkey),Turkey,"['Action', 'Adventure']",1.8
Cries of the Unborn,2017 (USA),USA,[],1.8
The Hidden Talent,16 March 2016 (USA),USA,['Drama'],1.8
Reis,3 March 2017 (Turkey),Turkey,['Biography'],1.8
Deti protiv volshebnikov,6 September 2016 (Russia),Russia,"['Animation', 'Adventure']",1.8
Opasnost' ryadom,29 November 2016 (Russia),Russia,"['Drama', 'Horror']",1.8
Che pin,7 November 2014 (Taiwan),Taiwan,['Comedy'],1.8
Perfect: Android Rising,8 July 2014 (USA),USA,"['Action', 'Drama']",1.9
Disaster Wars: Earthquake vs. Tsunami,13 December 2013 (Philippines),USA,"['Action', 'Drama']",1.9
Ninja Immovable Heart,27 February 2014 (Australia),Australia,['Action'],1.9
90210 Shark Attack,1 October 2014 (USA),USA,"['Drama', 'Horror']",1.9
